bloc,party,issue_name,matched_rows,issue_weight_sum,unique_speakers,emphasis_within,source
더불어민주당,국민회의당,economy_growth,3,1.7000000000000002,1,0.1452991452991453,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의당,regional_dev,3,1.7,1,0.1452991452991453,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의당,jobs_labor,2,1.35,1,0.1153846153846154,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의당,gaffe_event,1,0.75,1,0.06410256410256411,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의당,candidate_competence,2,0.7,1,0.05982905982905983,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의당,corruption_integrity,2,0.7,1,0.05982905982905983,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의당,education,2,0.7,1,0.05982905982905983,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의당,family_legal_risk,2,0.7,1,0.05982905982905983,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의당,foreign_policy,1,0.35,1,0.029914529914529916,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의당,security_nk,1,0.35,1,0.029914529914529916,15th_assembly_issue_phrase_extraction
더불어민주당,민주당,corruption_integrity,47,31.5,9,0.16212043232115286,15th_assembly_issue_phrase_extraction
더불어민주당,민주당,security_nk,41,22.15,10,0.11399897066392177,15th_assembly_issue_phrase_extraction
더불어민주당,민주당,welfare_pension,28,17.75,6,0.09135357694287186,15th_assembly_issue_phrase_extraction
더불어민주당,민주당,candidate_competence,25,15.65,7,0.08054554812146167,15th_assembly_issue_phrase_extraction
더불어민주당,민주당,regional_dev,34,14.5,10,0.0746268656716418,15th_assembly_issue_phrase_extraction
더불어민주당,민주당,economy_growth,24,14.4,9,0.07411219763252702,15th_assembly_issue_phrase_extraction
더불어민주당,민주당,external_shock,19,13.049999999999999,8,0.06716417910447761,15th_assembly_issue_phrase_extraction
더불어민주당,민주당,jobs_labor,19,9.9,7,0.05095213587236233,15th_assembly_issue_phrase_extraction
더불어민주당,민주당,education,19,8.9,6,0.045805455481214626,15th_assembly_issue_phrase_extraction
더불어민주당,민주당,foreign_policy,16,8.6,8,0.04426145136387031,15th_assembly_issue_phrase_extraction
더불어민주당,민주당,regime_change,10,8.2,7,0.04220277920741122,15th_assembly_issue_phrase_extraction
더불어민주당,민주당,endorsement_event,21,7.35,8,0.03782810087493567,15th_assembly_issue_phrase_extraction
