assembly_daesu,election_id,speaker_clean,roster_name,member_id,speaker_party,speaker_bloc,mandate_type,district,district_sido,district_bloc_type,term_count,seniority_weight,institutional_role,role_weight,meeting_weight,national_signal_weight,local_signal_weight,cross_region_signal_weight,base_mobilization_weight,mapping_confidence,notes
17,pres_2007,충청북도교육감 이기용,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,충청북도교육청교육국장 김종근,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,충청북도농정본부장 김정수,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,충청북도정무부지사 노화욱,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,충청북도정책관리실장 연영석,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,충청북도지방경찰청수사과장 박세호,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,충청북도지방경찰청장 박종환,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,충청북도지사 정우택,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,친일반민족행위자재산조사위원회사무처장 장완익,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,친환경상품진흥원장 이상영,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,코스콤 이사 이종규,,,,,district,,,unknown,1,1.0,party_leadership,1.12,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,통계청경제통계국장 최인근,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,통계청사회통계국장 전신애,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,통계청장 이창호,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,통계청장 이창호,,,,,district,,,unknown,1,1.0,party_leadership,1.12,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,통계청차장 김해수,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,통계청통계개발원장 이재형,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,통일부 이재정,,,,,government,,,government,1,1.0,minister,1.15,1.0,0.9,0.1,0.0,0.0,0.7,role inferred from transcript speaker label
17,pres_2007,통일부 이재정,,,,,government,,,government,1,1.0,prime_minister,1.25,1.0,0.9,0.1,0.0,0.0,0.7,role inferred from transcript speaker label
17,pres_2007,통일부북한이탈주민정착지원사무소장 이충원,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,통일부사회문화교류본부장 양창석,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,통일부차관 이관세,,,,,government,,,government,1,1.0,minister,1.15,1.0,0.9,0.1,0.0,0.0,0.7,role inferred from transcript speaker label
17,pres_2007,통일부혁신재정기획본부장 조용남,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,통일연구원장 이봉조,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,통일외교통상 대리 이화영,,5065,,,district,,,unknown,1,1.0,committee_chair,1.08,1.15,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,통일외교통상 대리 정의용,,5611,,,district,,,unknown,1,1.0,committee_chair,1.08,1.15,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,특허법원장 박국수,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,특허청장 전상우,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,학교법인기능대학대학이사장 박용웅,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
