election_id,assembly_daesu,period,issue_name,target_type,target_name,target_model_eligible,stance_label,sentence_count,weighted_mentions,signed_weight,absolute_directional_weight,directional_balance,first_observed_date,last_observed_date,available_date,source
pres_2025,21,2022-04-04,gaffe_event,party,국민의힘,False,neutral,1,0.75,0.0,0.0,0.0,2022-04-07,2022-04-07,2022-04-07,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-04,regime_change,government,정부,False,neutral,2,0.25025000000000003,0.0,0.0,0.0,2022-04-04,2022-04-07,2022-04-07,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-04,regional_dev,government,정부,False,neutral,5,1.75,0.0,0.0,0.0,2022-04-07,2022-04-07,2022-04-07,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-04,security_nk,government,정부,False,neutral,1,0.35,0.0,0.0,0.0,2022-04-04,2022-04-04,2022-04-04,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-04,unification_event,party,국민의힘,False,neutral,1,0.35,0.0,0.0,0.0,2022-04-07,2022-04-07,2022-04-07,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-04,welfare_pension,government,정부,False,neutral,5,1.75,0.0,0.0,0.0,2022-04-05,2022-04-07,2022-04-07,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-04,welfare_pension,person,문재인,False,neutral,1,1.0,0.0,0.0,0.0,2022-04-07,2022-04-07,2022-04-07,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,candidate_competence,government,정부,False,neutral,3,2.2,0.0,0.0,0.0,2022-04-15,2022-04-15,2022-04-15,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,corruption_integrity,government,정부,False,neutral,2,0.805,0.0,0.0,0.0,2022-04-15,2022-04-15,2022-04-15,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,corruption_integrity,person,노무현,False,neutral,1,0.8625,0.0,0.0,0.0,2022-04-14,2022-04-14,2022-04-14,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,corruption_integrity,person,문재인,False,neutral,12,9.9705,0.0,0.0,0.0,2022-04-14,2022-04-15,2022-04-15,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,corruption_integrity,person,윤석열,False,neutral,2,0.7,0.0,0.0,0.0,2022-04-14,2022-04-14,2022-04-14,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,corruption_integrity,person,이재명,False,neutral,1,0.42,0.0,0.0,0.0,2022-04-14,2022-04-14,2022-04-14,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,economy_growth,government,정부,False,neutral,5,1.925,0.0,0.0,0.0,2022-04-13,2022-04-13,2022-04-13,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,education,government,정부,False,neutral,1,0.35,0.0,0.0,0.0,2022-04-14,2022-04-14,2022-04-14,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,endorsement_event,government,정부,False,neutral,2,0.7,0.0,0.0,0.0,2022-04-13,2022-04-13,2022-04-13,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,foreign_policy,government,정부,False,neutral,4,2.2,0.0,0.0,0.0,2022-04-13,2022-04-13,2022-04-13,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,foreign_policy,party,정의당,False,neutral,1,0.35,0.0,0.0,0.0,2022-04-15,2022-04-15,2022-04-15,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,gender_generation,government,정부,False,neutral,7,2.45,0.0,0.0,0.0,2022-04-13,2022-04-13,2022-04-13,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,housing,person,문재인,False,neutral,1,0.4025,0.0,0.0,0.0,2022-04-15,2022-04-15,2022-04-15,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,regime_change,government,정부,False,neutral,9,2.57625,0.0,0.0,0.0,2022-04-13,2022-04-15,2022-04-15,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,regime_change,person,노무현,False,neutral,1,0.43125,0.0,0.0,0.0,2022-04-14,2022-04-14,2022-04-14,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,regime_change,person,문재인,False,neutral,13,5.778375000000001,0.0,0.0,0.0,2022-04-14,2022-04-15,2022-04-15,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,regime_change,person,이재명,False,neutral,1,0.231,0.0,0.0,0.0,2022-04-14,2022-04-14,2022-04-14,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,regional_dev,government,정부,False,neutral,7,4.15,0.0,0.0,0.0,2022-04-13,2022-04-15,2022-04-15,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,regional_dev,party,국민의힘,False,neutral,2,2.0,0.0,0.0,0.0,2022-04-15,2022-04-15,2022-04-15,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,regional_dev,party,더불어민주당,False,neutral,1,0.35,0.0,0.0,0.0,2022-04-14,2022-04-14,2022-04-14,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,security_nk,government,정부,False,neutral,5,1.75,0.0,0.0,0.0,2022-04-13,2022-04-15,2022-04-15,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-11,withdrawal_event,person,윤석열,False,neutral,1,0.35,0.0,0.0,0.0,2022-04-14,2022-04-14,2022-04-14,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,candidate_competence,government,정부,False,neutral,2,0.7,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,candidate_competence,government,청와대,False,neutral,3,3.0,0.0,0.0,0.0,2022-04-19,2022-04-20,2022-04-20,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,candidate_competence,person,윤석열,False,neutral,2,0.7,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,corruption_integrity,government,정부,False,neutral,1,0.4025,0.0,0.0,0.0,2022-04-20,2022-04-20,2022-04-20,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,corruption_integrity,party,국민의힘,False,neutral,1,0.35,0.0,0.0,0.0,2022-04-20,2022-04-20,2022-04-20,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,economy_growth,government,정부,False,neutral,12,6.764999999999999,0.0,0.0,0.0,2022-04-19,2022-04-20,2022-04-20,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,economy_growth,person,윤석열,False,neutral,1,1.1,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,education,government,정부,False,neutral,2,0.7,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,endorsement_event,government,정부,False,defend,1,0.35,0.22749999999999998,0.22749999999999998,1.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,endorsement_event,government,정부,False,neutral,1,0.35,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,endorsement_event,person,안철수,False,neutral,1,0.35,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,external_shock,government,정부,False,neutral,3,1.155,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,external_shock,person,문재인,False,neutral,2,1.485,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,family_legal_risk,government,정부,False,neutral,1,0.35,0.0,0.0,0.0,2022-04-20,2022-04-20,2022-04-20,assembly_stance_full_corpus_v1
