variant,layer,election_id,region_id,donor_slot,recipient_slots,candidate_ballot_recent_base,floor_mode,recipient_weight_mode,protected_floor,before,reservoir,gain,transfer,after,beneficiary_slot,burdened_slot,projected_margin,government_rejection_strength,dominance_activation,regime_certainty,veto_rate,base_runner_core_floor,rupture_floor_activation,theoretical_floor,effective_runner_floor,runner_flexible_mass
strong_0.00__weak_0.50,weak_same_lane_refusal,pres_2002,sido_42,C,A,0.0200289187580357,candidate_ballot,affinity_only,0.0200289187580357,0.08644776691940981,0.06641884816137411,0.5,0.033209424080687056,0.05323834283872275,,,,,,,,,,,,
strong_0.00__weak_0.50,weak_same_lane_refusal,pres_2002,sido_43,C,A,0.0118716878700329,candidate_ballot,affinity_only,0.0118716878700329,0.073307369008016,0.0614356811379831,0.5,0.03071784056899155,0.04258952843902445,,,,,,,,,,,,
strong_0.00__weak_0.50,weak_same_lane_refusal,pres_2002,sido_44,C,A,0.0095463081839152,candidate_ballot,affinity_only,0.0095463081839152,0.0454043056427732,0.035857997458858,0.5,0.017928998729429,0.0274753069133442,,,,,,,,,,,,
strong_0.00__weak_0.50,weak_same_lane_refusal,pres_2002,sido_45,C,A,0.0228231814936564,candidate_ballot,affinity_only,0.0228231814936564,0.12765526252633258,0.10483208103267619,0.5,0.052416040516338094,0.07523922200999449,,,,,,,,,,,,
strong_0.00__weak_0.50,weak_same_lane_refusal,pres_2002,sido_46,C,A,0.0132624825931937,candidate_ballot,affinity_only,0.0132624825931937,0.1355353392318388,0.12227285663864511,0.5,0.061136428319322554,0.07439891091251624,,,,,,,,,,,,
strong_0.00__weak_0.50,weak_same_lane_refusal,pres_2002,sido_47,C,A,0.0296959172831779,candidate_ballot,affinity_only,0.0296959172831779,0.044961143703039996,0.015265226419862096,0.5,0.007632613209931048,0.03732853049310895,,,,,,,,,,,,
strong_0.00__weak_0.50,weak_same_lane_refusal,pres_2002,sido_48,C,A,0.0344685791555901,candidate_ballot,affinity_only,0.0344685791555901,0.08956691942847561,0.05509834027288551,0.5,0.027549170136442754,0.06201774929203285,,,,,,,,,,,,
strong_0.00__weak_0.50,weak_same_lane_refusal,pres_2002,sido_50,C,A,0.0,candidate_ballot,affinity_only,0.0,0.14725700977512168,0.14725700977512168,0.5,0.07362850488756084,0.07362850488756084,,,,,,,,,,,,
strong_0.00__weak_0.50,weak_same_lane_refusal,pres_2022,sido_11,C,B,0.029384832583875,candidate_ballot,affinity_only,0.029384832583875,0.050248992454795804,0.020864159870920804,0.5,0.010432079935460402,0.039816912519335404,,,,,,,,,,,,
strong_0.00__weak_0.50,weak_same_lane_refusal,pres_2022,sido_26,C,B,0.0399820977460082,candidate_ballot,affinity_only,0.0399820977460082,0.0473199437571172,0.007337846011108998,0.5,0.003668923005554499,0.0436510207515627,,,,,,,,,,,,
strong_0.00__weak_0.50,weak_same_lane_refusal,pres_2022,sido_28,C,B,0.0485003528440327,candidate_ballot,affinity_only,0.0485003528440327,0.053431832125359804,0.004931479281327103,0.5,0.0024657396406635515,0.05096609248469625,,,,,,,,,,,,
strong_0.00__weak_0.50,weak_same_lane_refusal,pres_2022,sido_30,C,B,0.0287620743601844,candidate_ballot,affinity_only,0.0287620743601844,0.050309115688382,0.021547041328197597,0.5,0.010773520664098798,0.0395355950242832,,,,,,,,,,,,
strong_0.00__weak_0.50,weak_same_lane_refusal,pres_2022,sido_36,C,B,0.0509430370441767,candidate_ballot,affinity_only,0.0509430370441767,0.059766017091437404,0.008822980047260703,0.5,0.004411490023630352,0.05535452706780705,,,,,,,,,,,,
strong_0.00__weak_0.50,weak_same_lane_refusal,pres_2022,sido_41,C,B,0.0359763522960836,candidate_ballot,affinity_only,0.0359763522960836,0.044584193152954005,0.008607840856870407,0.5,0.004303920428435203,0.0402802727245188,,,,,,,,,,,,
strong_0.00__weak_0.50,weak_same_lane_refusal,pres_2022,sido_42,C,B,0.0308172356117518,candidate_ballot,affinity_only,0.0308172356117518,0.0467143452487786,0.0158971096370268,0.5,0.0079485548185134,0.0387657904302652,,,,,,,,,,,,
strong_0.00__weak_0.50,weak_same_lane_refusal,pres_2022,sido_43,C,B,0.0345580698080987,candidate_ballot,affinity_only,0.0345580698080987,0.0473340120894684,0.012775942281369697,0.5,0.006387971140684848,0.040946040948783555,,,,,,,,,,,,
