region_id,lineage_id,lineage_gap,lineage_reliability,effective_n,prior_events,source_party_names,weighted_gap,regional_distinctiveness,target_election_id
sido_47,party:미래당,0.0007461688059814112,0.5514728755447205,1.8925911014380399,2,미래당,0.0004114918570763395,0.3812512930617966,pres_2022
sido_47,party:미래민주당,-0.00024293825546308845,0.4,1.0,1,미래민주당,-9.717530218523539e-05,0.3812512930617966,pres_2022
sido_47,party:미래연합,-0.00012487572940543385,0.4,1.0,1,,-4.9950291762173545e-05,0.3812512930617966,pres_2022
sido_47,party:민국당,0.0007640144686249349,0.5581291825397565,1.9909382639215485,2,민국당,0.0004264187708221814,0.3812512930617966,pres_2022
sido_47,party:민생당,-0.025128901265223814,0.4,1.0,1,민생당,-0.010051560506089526,0.3812512930617966,pres_2022
sido_47,party:민주공화당,-0.0002667290476585734,0.4,1.0,1,,-0.00010669161906342936,0.3812512930617966,pres_2022
sido_47,party:민주국민당,0.031302279545640035,0.327148046402899,1.9738192876842642,2,민주국민당,0.010240479601313563,0.3812512930617966,pres_2022
sido_47,party:민주통일당,-4.661438560860907e-05,0.4,1.0,1,,-1.864575424344363e-05,0.3812512930617966,pres_2022
sido_47,party:민주화합당,-9.207335399779355e-05,0.4,1.0,1,민주화합당,-3.6829341599117424e-05,0.3812512930617966,pres_2022
sido_47,party:민중민주당,-6.622919375712266e-07,0.4,1.0,1,,-2.6491677502849066e-07,0.3812512930617966,pres_2022
sido_47,party:민중연합당,0.01210590335658364,0.4365270694824382,2.441847232442758,3,민중연합당,0.005284554515687069,0.3812512930617966,pres_2022
sido_47,party:바른정당,0.02426898787294815,0.4,1.0,1,바른정당,0.00970759514917926,0.3812512930617966,pres_2022
sido_47,party:바른정치연합,-0.0005035310065857877,0.4,1.0,1,바른정치연합,-0.0002014124026343151,0.3812512930617966,pres_2022
sido_47,party:복지국가당,0.00020064136584974752,0.5560279203722526,1.8925911014380394,2,복지국가당,0.0001115622013940834,0.3812512930617966,pres_2022
sido_47,party:불교당,0.001088702660887995,0.4,1.0,1,불교당,0.00043548106435519797,0.3812512930617966,pres_2022
sido_47,party:불교연합당,0.00029534106646080465,0.5553569515476462,1.8925911014380397,2,불교연합당,0.00016401971433650325,0.3812512930617966,pres_2022
sido_47,party:사회당,-0.00019395547647244564,0.7960570765210432,6.807897127471524,8,사회당,-0.00015439962957590104,0.3812512930617966,pres_2022
sido_47,party:새벽당,0.0008069886188400658,0.4,1.0,1,새벽당,0.0003227954475360263,0.3812512930617966,pres_2022
sido_47,party:새시대참사람연합,0.00012820719269411883,0.4,1.0,1,새시대참사람연합,5.128287707764753e-05,0.3812512930617966,pres_2022
sido_47,party:새정치당,0.0036880886700967853,0.7246264184478852,5.782942283347324,6,새정치당,0.0026724864839304577,0.3812512930617966,pres_2022
sido_47,party:시민당,6.628949361007785e-05,0.7561941290309709,4.727589255944832,5,시민당,5.0127725884376935e-05,0.3812512930617966,pres_2022
sido_47,party:신미래당,0.00033200436730471876,0.4,1.0,1,신미래당,0.0001328017469218875,0.3812512930617966,pres_2022
sido_47,party:신정당,-0.00042576106337259014,0.4277111832451414,1.718808690864497,2,신정당,-0.00018210276819480016,0.3812512930617966,pres_2022
sido_47,party:여성의당,-0.0013705939031105245,0.4,1.0,1,여성의당,-0.0005482375612442099,0.3812512930617966,pres_2022
sido_47,party:우리공화당,0.000588526874077581,0.4,1.0,1,우리공화당,0.0002354107496310324,0.3812512930617966,pres_2022
sido_47,party:우리당,0.00011066736130440605,0.4,1.0,1,우리당,4.4266944521762424e-05,0.3812512930617966,pres_2022
sido_47,party:우리미래,-0.00036417139543496374,0.6555462149606343,2.8807988625921856,3,,-0.00023873117987432288,0.3812512930617966,pres_2022
sido_47,party:일제·위안부·인권정당,0.00015165961961141204,0.4,1.0,1,일제·위안부·인권정당,6.066384784456482e-05,0.3812512930617966,pres_2022
sido_47,party:자영업당,-8.785821614676445e-06,0.4,1.0,1,자영업당,-3.5143286458705784e-06,0.3812512930617966,pres_2022
sido_47,party:자유당,0.0005837825243777832,0.4,1.0,1,자유당,0.0002335130097511133,0.3812512930617966,pres_2022
sido_47,party:자유평화당,-1.3384591239166669e-05,0.4,1.0,1,,-5.353836495666668e-06,0.3812512930617966,pres_2022
